"순번","서소코드","방면코드","중앙점X좌표","중앙점Y좌표","서소이름","위도","경도"
"1","76236","3","192393.039500000","446800.621500000","영등포소방서","37.5206414","126.9139239"
"2","75236","2","204477.714500000","453806.678000000","동대문소방서","37.5837941","127.0506879"
"3","74236","1","198315.522000000","447956.789000000","용산소방서","37.5311061","126.9809422"
"4","73236","2","205454.686000000","449851.374500000","광진소방서","37.5481447","127.0617329"
"5","71236","1","197056.969720000","455503.481500000","종로소방서","37.5991001","126.986175"
"6","78236","1","193175.041500000","457560.434500000","은평소방서","37.6176107","126.9227127"
"7","77236","2","202052.467500000","456378.766000000","성북소방서","37.6069889","127.0232435"
"8","79236","4","205874.547450000","444060.673500000","강남소방서","37.4959815","127.0664088"
"9","80236","4","203344.759000000","441946.916000000","서초소방서","37.4769532","127.0378001"
"10","81236","3","184329.332500000","451818.060000000","강서소방서","37.5657621","126.8226558"
"11","83236","1","191941.166000000","451421.907500000","마포소방서","37.5622933","126.9087792"
"12","82236","4","212941.304500000","449980.709000000","강동소방서","37.549233","127.1464401"
"13","86236","2","206807.137000000","461738.689000000","노원소방서","37.6552597","127.0771199"
"14","85236","3","190632.751860000","441826.441000000","구로소방서","37.4758251","126.8707748"
"15","88236","4","210121.155000000","445049.345450000","송파소방서","37.5048526","127.1144708"
"16","87236","3","195029.548000000","440666.050000000","관악소방서","37.4654","126.9438067"
"17","89236","3","187284.922500000","447515.498000000","양천소방서","37.5270363","126.8561354"
"18","90236","2","208297.550000000","455094.435500000","중랑소방서","37.5953753","127.093966"
"19","91236","3","195074.545500000","444117.289500000","동작소방서","37.4965073","126.9443079"
"20","92236","1","194316.924500000","453703.073500000","서대문소방서","37.5828688","126.9356676"
"21","84236","2","201572.081500000","461722.579500000","도봉소방서","37.6658587","127.0317954"
"22","93236","2","0E-9","0E-9","강북소방서","37.6469903","127.0147136"
"23","72236","1","199487.028500000","450935.422000000","중부소방서","37.5579449","126.9941953"