일련번호,오퍼레이션명(영문),오퍼레이션명(국문),
0,baroApi,바로API,
1,storeZoneOne,지정 상권조회,
2,storeZoneInRadius,반경내 상권조회,
3,storeZoneInRectangle,사각형내 상권조회,
4,sotreZoneInAdmi,행정구역 단위 상권조회,
5,storeOne,단일 상가업소 조회,
6,storeListInBuilding,건물단위 상가업소 조회,
7,storeListInPnu,지번단위 상가업소 조회,
8,storeListInDong,행정동 단위 상가업소 조회,
9,storeListInArea,상권내 상가업소 조회,
10,storeListInRadius,반경내 상가업소 조회,
11,storeListInRectangle,사각형내 상가업소 조회,
12,storeListInPolygon,다각형내 상가업소 조회,
13,storeListInUpjong,업종별 상가업소 조회,
14,storeListByDate,수정일자기준 상가업소 조회,
15,reqStoreModify,상가업소정보 변경요청,
16,largeUpjongList,상권정보업종 대분류 조회,
17,middleUpjongList,상권정보업종 중분류 조회,
18,smallUpjongList,상권정보업종 소분류 조회,
19,storeStatsUpjongInAdmi,행정구역내 업종별 상가업소 통계조회,
20,storeStatsUpjongInBuilding,건물내 업종별 상가업소 통계조회,
21,storeStatsUpjongInRadius,반경내 업종별 상가업소 통계조회,
22,storeStatsUpjongInRectangle,사각형내 업종별 상가업소 통계조회,
23,storeStatsUpjongInPolygon,다각형내 업종별 상가업 통계조회,